layer_z,score_percent,primary_cause,machine_x_mm,machine_y_mm,raw_image_x_px,raw_image_y_px
tensor(203),94.6054458618164,조사(B),1.2893872150556362,7.514688434622724,1287.109375,1310.546875
tensor(203),90.89556336402893,조사(B),-4.792962435541896,12.068632410634278,1369.140625,1386.71875
tensor(205),90.64945578575134,도포(A),-4.802791510644206,12.429536963230813,1369.140625,1392.578125
tensor(206),93.40142607688904,도포(A),4.739345517399503,4.7314440077143445,1240.234375,1263.671875
tensor(206),97.30783700942993,조사(B),1.3050381287620603,6.800385512543508,1287.109375,1298.828125
tensor(206),93.92868876457214,도포(A),0.8246225271668,9.29625865658212,1292.96875,1339.84375
tensor(206),94.4085955619812,조사(B),-4.374995787274089,12.437470123209419,1363.28125,1392.578125
tensor(206),97.21837639808655,조사(B),-3.5951724559148857,15.348204033390342,1351.5625,1439.453125
tensor(208),93.32709312438965,조사(B),4.739345517399503,4.7314440077143445,1240.234375,1263.671875
tensor(208),92.2092080116272,조사(B),-4.452747190003442,15.332829658530587,1363.28125,1439.453125
tensor(210),94.69695091247559,도포(A),6.56596063270337,-2.994606876116232,1216.796875,1134.765625
tensor(210),95.36646604537964,조사(B),5.14928446365955,5.451045866660907,1234.375,1275.390625
tensor(210),96.42120003700256,조사(B),0.45577298396476784,6.783597286533254,1298.828125,1298.828125
tensor(210),95.36422491073608,조사(B),2.101040468420726,9.3208094328084,1275.390625,1339.84375
tensor(210),95.7663357257843,조사(B),-1.3042846984436536,9.255310998911982,1322.265625,1339.84375
tensor(210),93.9171850681305,조사(B),-4.773323207569435,11.347518093064592,1369.140625,1375.0
tensor(210),96.61937355995178,조사(B),-4.452747190003442,15.332829658530587,1363.28125,1439.453125
tensor(211),91.21116399765015,조사(B),-4.792962435541896,12.068632410634278,1369.140625,1386.71875
tensor(212),91.04635715484619,조사(B),-4.871772212338038,14.9623743892826,1369.140625,1433.59375
tensor(214),90.71747064590454,조사(B),8.436913541407344,-15.079951327774204,1193.359375,929.6875
tensor(214),94.64728832244873,도포(A),10.5012699180379,-14.343934287500838,1164.0625,941.40625
tensor(214),98.49416017532349,도포(A),3.6250107165705825,-3.0589540490332543,1257.8125,1134.765625
tensor(214),95.39120197296143,조사(B),6.559878033814175,-2.6442086096619413,1216.796875,1140.625
tensor(214),90.36893844604492,조사(B),5.66239261063754,0.501567849081953,1228.515625,1193.359375
tensor(214),92.08524823188782,조사(B),1.8214152813363442,2.5423867646425866,1281.25,1228.515625
tensor(214),97.36747145652771,조사(B),3.8859558227972006,5.0698241495188014,1251.953125,1269.53125
tensor(214),99.11338686943054,도포(A),0.45577298396476784,6.783597286533254,1298.828125,1298.828125
tensor(214),97.45818376541138,조사(B),1.683361243460623,8.954248343296983,1281.25,1333.984375
tensor(214),96.53523564338684,도포(A),-1.7479379467042793,9.9650422036621,1328.125,1351.5625
tensor(214),98.31165075302124,도포(A),-4.355620318198516,11.715953248014495,1363.28125,1380.859375
tensor(214),94.27501559257507,조사(B),1.567096624919121,14.354109528481759,1281.25,1421.875
tensor(214),96.87095284461975,조사(B),-2.318449825273845,15.734070814052032,1333.984375,1445.3125
tensor(214),96.25407457351685,조사(B),-4.033528797310563,15.703455884318888,1357.421875,1445.3125
tensor(215),93.92789006233215,도포(A),1.2972151699445098,7.157422963998023,1287.109375,1304.6875
tensor(215),92.77109503746033,조사(B),-4.802791510644206,12.429536963230813,1369.140625,1392.578125
tensor(216),93.4639573097229,도포(A),8.658965233486548,-2.598438129997778,1187.5,1140.625
tensor(216),90.43012857437134,도포(A),-0.7255062000501336,2.8443611630116536,1316.40625,1234.375
tensor(216),93.95388960838318,조사(B),5.162435967945173,4.740000429428423,1234.375,1263.671875
tensor(216),97.3160982131958,도포(A),-0.37707904378115964,6.053174601262386,1310.546875,1287.109375
tensor(216),91.20116829872131,조사(B),-1.730297931210834,9.24711700914652,1328.125,1339.84375
tensor(216),96.74953818321228,조사(B),-4.8126269012627025,12.790673409318321,1369.140625,1398.4375
tensor(216),97.59169220924377,조사(B),-3.1758327572166434,15.718766143746002,1345.703125,1445.3125
tensor(218),96.24596834182739,조사(B),3.6250107165705825,-3.0589540490332543,1257.8125,1134.765625
tensor(218),93.98137927055359,조사(B),4.732636562253954,5.086882901001837,1240.234375,1269.53125
