layer_z,score_percent,machine_x_mm,machine_y_mm,raw_image_x_px,raw_image_y_px
tensor(203),70.14479041099548,70.42847690558708,-48.26308312045817,285.15625,308.59375
tensor(203),70.2757716178894,63.062494777128634,-46.27204080867444,396.484375,349.609375
tensor(203),70.3809916973114,59.63221189639089,-42.85951534999996,449.21875,414.0625
tensor(203),70.25589942932129,67.57145158320466,-41.33170403032701,332.03125,437.5
tensor(203),70.40229439735413,58.09000640648967,-41.620458013090555,472.65625,437.5
tensor(203),69.38492059707642,-26.59276330159619,-43.54327276435846,1703.125,449.21875
tensor(203),70.38477063179016,70.76382901171839,-40.270234859516506,285.15625,455.078125
tensor(203),70.36590576171875,59.32777426896779,-39.97073084107524,455.078125,466.796875
tensor(203),70.32227516174316,64.4850774018899,-39.492826174665296,378.90625,472.65625
tensor(203),70.35964727401733,61.71493375176693,-39.57603335164401,419.921875,472.65625
tensor(203),70.3120231628418,57.41236894810977,-37.7623736167884,484.375,507.8125
tensor(203),70.36047577857971,53.84968636954228,-37.21818443749323,537.109375,519.53125
tensor(203),70.28871178627014,62.60657214485753,-36.63551032012255,408.203125,525.390625
tensor(203),69.08033490180969,71.84240176928466,-33.43998072620285,273.4375,578.125
tensor(203),70.13728022575378,55.141891096887235,-33.5934947177769,519.53125,583.984375
tensor(203),69.08562183380127,66.72048466225667,-32.6080648893805,349.609375,595.703125
tensor(203),69.05665397644043,64.81415481291603,-30.369533762027892,378.90625,636.71875
tensor(203),69.01754140853882,66.50785156235807,-27.69032934621204,355.46875,683.59375
tensor(203),69.13799047470093,72.5071454273493,-27.195909749517003,267.578125,689.453125
tensor(203),68.97069811820984,58.523531598464096,-27.24881915374711,472.65625,695.3125
tensor(203),69.16961669921875,69.74193533993807,-26.611872373859523,308.59375,701.171875
tensor(203),68.96884441375732,63.76732915915775,-26.113345620602193,396.484375,712.890625
tensor(203),69.05350089073181,69.40897285962808,-24.967574698101622,314.453125,730.46875
tensor(203),69.03658509254456,68.6611252923723,-23.661121531995207,326.171875,753.90625
tensor(203),68.90014410018921,58.653856050868725,-22.92847976130988,472.65625,771.484375
tensor(203),69.05936002731323,69.1411393167232,-21.652506109682687,320.3125,789.0625
tensor(203),69.1291332244873,71.58961995003165,-20.588170711053916,285.15625,806.640625
tensor(203),69.18414235115051,63.96527389786124,-20.452004810129047,396.484375,812.5
tensor(203),68.183833360672,-27.642649639134586,-22.144044377445162,1703.125,824.21875
tensor(203),68.21361184120178,55.539127096729,-18.992516927614886,519.53125,841.796875
tensor(203),69.13641691207886,71.70202340994575,-17.909124470782743,285.15625,853.515625
tensor(203),70.27731537818909,67.35004522406182,-16.00201091433033,349.609375,888.671875
tensor(203),69.7784960269928,70.2016574227297,-15.256952909651226,308.59375,900.390625
tensor(203),70.19971013069153,65.36711219004705,-15.039427002160721,378.90625,906.25
tensor(203),69.66992020606995,72.6788901078827,-13.845986021205492,273.4375,923.828125
tensor(203),68.87290477752686,12.168643787113949,-14.988644504168244,1140.625,929.6875
tensor(203),69.47961449623108,-29.210200393931082,-16.001089289265977,1720.703125,929.6875
tensor(203),69.37419772148132,58.938112358537786,-13.505200392688613,472.65625,935.546875
tensor(203),68.88478398323059,10.486905714688831,-13.314417373663652,1164.0625,958.984375
tensor(203),69.34443712234497,58.58253413777587,-11.815056219797926,478.515625,964.84375
tensor(203),69.24347281455994,-28.469565423038308,-13.906748548919722,1708.984375,964.84375
tensor(203),68.23244094848633,15.043480504714806,-12.517618112665703,1099.609375,970.703125
tensor(203),70.20562291145325,62.670696086617625,-11.036414817535551,419.921875,976.5625
tensor(203),69.09792423248291,-26.814083353896528,-13.1734132814269,1685.546875,976.5625
tensor(203),69.3327784538269,73.64787512509925,-10.09462144725884,261.71875,988.28125
tensor(203),69.52623724937439,69.23154366070024,-9.177401271434297,326.171875,1005.859375
tensor(203),70.34693360328674,62.35473217210131,-8.313617928089043,425.78125,1023.4375
tensor(203),69.82634663581848,-30.354397221605822,-10.123862192632108,1732.421875,1029.296875
tensor(203),69.74478363990784,72.95477745802512,-7.383570434006457,273.4375,1035.15625
tensor(203),69.50122117996216,58.316516605998544,-7.036178228249486,484.375,1046.875
tensor(203),70.11818885803223,68.93240241221514,-6.449432683121386,332.03125,1052.734375
tensor(203),69.06912922859192,-27.030830608369758,-8.64907516011324,1685.546875,1052.734375
tensor(203),68.94721388816833,9.967554763423074,-6.062778256997875,1169.921875,1082.03125
tensor(203),68.96947026252747,6.620531550766652,-6.138255740117128,1216.796875,1082.03125
tensor(203),68.37764382362366,2.43002011649659,-6.232754414295768,1275.390625,1082.03125
tensor(203),69.11214590072632,-26.689984404622248,-6.889428870978419,1679.6875,1082.03125
