selection_order,semantic_name,clicked_x_px,clicked_y_px,inside_frozen_detector_roi,distance_outside_frozen_detector_roi_px,current_frozen_candidate_index,current_frozen_nearest_x_px,current_frozen_nearest_y_px,current_frozen_nearest_distance_px,current_frozen_snap_bound_px,current_frozen_snap_pass,local_patch_x0_px,local_patch_y0_px,local_patch_x1_px,local_patch_y1_px,local_candidate_count,nearest_local_candidate_x_px,nearest_local_candidate_y_px,nearest_local_candidate_distance_px,local_center_within_frozen_snap_bound,local_neighbor_count_in_pitch_band,local_orthogonal_neighbor_pair_pass,local_best_neighbor_pair_abs_cosine,local_lattice_evidence_pass,nearest_v3_assigned_x_px,nearest_v3_assigned_y_px,nearest_v3_assigned_distance_px,nearest_nominal_prediction_x_px,nearest_nominal_prediction_y_px,nearest_nominal_prediction_distance_px,evidence_class,evidence_reason,important_limit
1,top_left_outer_dot_center,974.581272457504,756.3504301218932,True,0.0,108,978.0,757.0,3.479890664426711,8.738353576116276,True,915,697,1034,816,17,978.0,757.0,3.479890664426711,True,2,True,0.0,True,979.2357848204778,758.4868364047832,5.121397967610703,978.9514749506383,758.4152779124628,4.8334528268326835,current_detector_supported,The existing frozen detector already supports this click within the predeclared snap bound.,Image-space evidence class only; does not edit clicks/detector/grid/gate/calibration.
2,top_right_outer_dot_center,1708.9590873507286,798.4973308027218,False,13.959087350728623,1580,1539.0,786.0,170.41794110446605,8.738353576116276,False,1649,739,1768,858,39,1704.0,799.0,4.9844983372500975,True,3,True,0.0,True,1524.7837051293236,788.5587858789179,184.44334114194282,1524.8939437694405,803.031743055041,184.12098733190138,printed_dot_visible_but_current_detector_missed,"A near-click local same-response candidate has at least two pitch-band neighbors with an approximately orthogonal pair, while the frozen detector misses the click.",Image-space evidence class only; does not edit clicks/detector/grid/gate/calibration.
3,bottom_right_outer_dot_center,1706.4047297337088,1599.2884437384641,False,11.404729733708791,830,1619.0,1594.0,87.56457284197518,8.738353576116276,False,1647,1540,1766,1659,25,1701.0,1586.0,14.345516389616746,False,3,True,0.30880675386037676,False,1494.641322445263,1578.3710192977958,212.7939832599672,1523.3769513720101,1578.6475205738582,184.18798918796594,ambiguous,"At least one image-space reference is near the click, but the independent local lattice-support gate is incomplete; no click or detector conclusion is promoted.",Image-space evidence class only; does not edit clicks/detector/grid/gate/calibration.
4,bottom_left_outer_dot_center,973.3040936489941,1629.940735142703,True,0.0,49,975.0,1614.0,16.030693535876406,8.738353576116276,False,914,1570,1033,1689,12,975.0,1614.0,16.030693535876406,False,2,True,0.3713906763541037,False,977.1524086206163,1594.956022038813,35.19573381934673,975.3481646419991,1594.6941396276484,35.30581710747274,ambiguous,"At least one image-space reference is near the click, but the independent local lattice-support gate is incomplete; no click or detector conclusion is promoted.",Image-space evidence class only; does not edit clicks/detector/grid/gate/calibration.
