candidate_rank,orientation,screen_A_to_D_machine_parts,part,layer_z,stage,led,filter,registered_column_1_based,sample_count,in_frame_fraction,valid_fraction,pearson_r,spearman_r,abs_spearman_r
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,A,1,original,20,3667,1.0,0.5763910719899402,0.05271415149311625,0.05801163117577193,0.05801163117577193
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,A,1,mean3,21,3667,1.0,0.5763910719899402,0.04953315864901761,0.054613633467093636,0.054613633467093636
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,A,1,mean5,22,3667,1.0,0.5763910719899402,0.057339745207662954,0.058897921181609046,0.058897921181609046
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,A,2,original,23,6240,1.0,0.9808236403646652,0.044310568157103325,0.03817552782877391,0.03817552782877391
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,A,2,mean3,24,6240,1.0,0.9808236403646652,0.04881024805530424,0.034413839391368925,0.034413839391368925
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,A,2,mean5,25,6240,1.0,0.9808236403646652,0.04800906056490275,0.02948220411579334,0.02948220411579334
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,A,3,original,26,6361,1.0,0.9998428167243005,-0.03786971809259968,-0.032352377421669506,0.032352377421669506
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,A,3,mean3,27,6361,1.0,0.9998428167243005,-0.041269601290679137,-0.034130391894856005,0.034130391894856005
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,A,3,mean5,28,6361,1.0,0.9998428167243005,-0.041106186036444385,-0.03181437088076354,0.03181437088076354
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,B,1,original,29,5292,1.0,0.8318138950015719,0.2510258869751048,0.2645754927557377,0.2645754927557377
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,B,1,mean3,30,5292,1.0,0.8318138950015719,0.2561016325027935,0.265993201881208,0.265993201881208
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,B,1,mean5,31,5292,1.0,0.8318138950015719,0.2564312447023448,0.26003721987024175,0.26003721987024175
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,B,2,original,32,6355,1.0,0.9988997170701037,0.427050145415562,0.4813684513598008,0.4813684513598008
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,B,2,mean3,33,6355,1.0,0.9988997170701037,0.4302930968870643,0.49046415377802294,0.49046415377802294
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,B,2,mean5,34,6355,1.0,0.9988997170701037,0.43153597876213334,0.4983500329041339,0.4983500329041339
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,B,3,original,35,6264,1.0,0.9845960389814524,0.5523182027141328,0.3105636651792573,0.3105636651792573
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,B,3,mean3,36,6264,1.0,0.9845960389814524,0.5609755602802926,0.31494737934877765,0.31494737934877765
1,mirror_rotate_90,part01;part02;part03;part04,part04,25,B,3,mean5,37,6264,1.0,0.9845960389814524,0.5724323997804104,0.32230822597719755,0.32230822597719755
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,A,1,original,20,129,1.0,0.024157303370786518,-0.07569572479649374,-0.047606074885961226,0.047606074885961226
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,A,1,mean3,21,129,1.0,0.024157303370786518,-0.09802855970443944,-0.06650656171010724,0.06650656171010724
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,A,1,mean5,22,129,1.0,0.024157303370786518,-0.14045052959079984,-0.15814421653531652,0.15814421653531652
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,A,2,original,23,1868,1.0,0.349812734082397,-0.02148889044456289,-0.026359121628987407,0.026359121628987407
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,A,2,mean3,24,1868,1.0,0.349812734082397,-0.029154368601241216,-0.03468510016693422,0.03468510016693422
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,A,2,mean5,25,1868,1.0,0.349812734082397,-0.03182748822642522,-0.03746067554553288,0.03746067554553288
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,A,3,original,26,5340,1.0,1.0,-0.034732925872484104,-0.0539717196010132,0.0539717196010132
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,A,3,mean3,27,5340,1.0,1.0,-0.0477192189676484,-0.06488941670547747,0.06488941670547747
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,A,3,mean5,28,5340,1.0,1.0,-0.05917435643628488,-0.08001306756239854,0.08001306756239854
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,B,1,original,29,1475,1.0,0.2762172284644195,-0.16860571172398606,-0.164707579872531,0.164707579872531
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,B,1,mean3,30,1475,1.0,0.2762172284644195,-0.16863019621206793,-0.16715802546223768,0.16715802546223768
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,B,1,mean5,31,1475,1.0,0.2762172284644195,-0.17427050702782476,-0.17503892720383948,0.17503892720383948
