sample_id,layer_z,rank,score,x_model_pixel,y_model_pixel,raw_camera_x_px,raw_camera_y_px,expected_raw_camera_x_px,expected_raw_camera_y_px,model_grid_roundtrip_x,model_grid_roundtrip_y,model_grid_roundtrip_error_px,raw_center_mapping_error_px,grid_in_bounds,raw_in_working_roi,raw_in_sensor_fov,model_edge_margin_px,model_edge_safe,score_finite,score_in_unit_interval,inverse_homography_denominator,machine_x,machine_y,containing_machine_part,inverse_transform_solvable,reprojected_raw_camera_x_px,reprojected_raw_camera_y_px,raw_camera_roundtrip_error_px,score_semantics
test_z_205,205,5,0.7226258516311646,178,170,1295.8984375,1249.0234375,1295.8984375,1249.0234375,178.0,170.0,0.0,0.0,True,True,True,77.0,True,True,True,0.9963610799431216,0.7361052386295878,4.115979544145471,part02,True,1295.8984375000002,1249.0234375000002,3.2155493553843715e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_206,206,1,0.7333208918571472,178,196,1295.8984375,1401.3671875,1295.8984375,1401.3671875,178.0,196.0,0.0,0.0,True,True,True,59.0,True,True,True,0.9875536568091463,0.5229576103116963,13.444276722954354,part01,True,1295.8984375000002,1401.3671875000005,5.084229945850415e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_206,206,2,0.7325977683067322,170,174,1249.0234375,1272.4609375,1249.0234375,1272.4609375,170.0,174.0,0.0,0.0,True,True,True,81.0,True,True,True,0.9961473256478147,4.094130868809871,5.60638336283303,part02,True,1249.0234375000002,1272.4609375000002,3.2155493553843715e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_206,206,3,0.7250712513923645,174,167,1272.4609375,1231.4453125,1272.4609375,1231.4453125,174.0,167.0,0.0,0.0,True,True,True,81.0,True,True,True,0.9979479380135403,2.4526515774047604,3.08461824844764,part02,True,1272.4609375,1231.4453125000002,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_206,206,4,0.723761796951294,183,174,1325.1953125,1272.4609375,1325.1953125,1272.4609375,183.0,174.0,0.0,0.0,True,True,True,72.0,True,True,True,0.9942928205941945,-1.4195010298699675,5.499007619855025,part02,True,1325.1953125000002,1272.4609375000002,3.2155493553843715e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_206,206,5,0.7201297283172607,188,203,1354.4921875,1442.3828125,1354.4921875,1442.3828125,188.0,203.0,0.0,0.0,True,True,True,52.0,True,True,True,0.9837558851549068,-3.8270252191989877,15.915805888395413,part01,True,1354.4921875,1442.3828125000002,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_207,207,1,0.7348281741142273,179,195,1301.7578125,1395.5078125,1301.7578125,1395.5078125,179.0,195.0,0.0,0.0,True,True,True,60.0,True,True,True,0.9877497496178669,0.10377627472269187,13.07518575518095,part01,True,1301.7578125,1395.5078125,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_207,207,2,0.732457160949707,173,172,1266.6015625,1260.7421875,1266.6015625,1260.7421875,173.0,172.0,0.0,0.0,True,True,True,82.0,True,True,True,0.996396857030362,2.8384082692454635,4.869450442094899,part02,True,1266.6015625,1260.7421875,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_207,207,3,0.7307051420211792,176,167,1284.1796875,1231.4453125,1284.1796875,1231.4453125,176.0,167.0,0.0,0.0,True,True,True,79.0,True,True,True,0.9976626295437526,1.6067962318177422,3.0674335342508843,part02,True,1284.1796875,1231.4453125,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_207,207,4,0.726698100566864,182,174,1319.3359375,1272.4609375,1319.3359375,1272.4609375,182.0,174.0,0.0,0.0,True,True,True,73.0,True,True,True,0.9944354748290885,-0.994645396892701,5.5072815108379,part02,True,1319.3359375000005,1272.4609375000005,6.431098710768743e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
