artifact,role,path,tiff_access,series_axes,series_shape,dtype,is_imagej,canonical_channel_mode,channel_count,raw_height_px,raw_width_px,saturated_fraction,display_stride,display_height_px,display_width_px,robust_p01,robust_p50,robust_p99,normalized_gradient_mean,normalized_gradient_p99,top_one_percent_edge_fraction,edge_profile_x_cv,edge_profile_y_cv
dot_grid,layer-camera dot-grid geometry,raw_original/metadata/Layer Camera Metadata/DotGrid_2000x2000.tif,"tifffile.memmap(..., series=0, mode='r')",YX,2000;2000,uint8,True,grayscale,1,2000,2000,0.001301,2,1000,1000,8.0,54.0,215.0,0.015926219522953033,0.10720937699079514,0.01002075,0.5042940974235535,0.3437039852142334
secondary_laser_origin,secondary-camera machine-origin laser reference,raw_original/metadata/Layer Camera Metadata/SecondaryCamera_Laser00.tif,"tifffile.memmap(..., series=0, mode='r')",YXS,3036;4048;3,uint8,True,multi_channel,3,3036,4048,0.000201631801777875,5,608,810,15.923800468444824,97.05500030517578,234.06820678710938,0.016260793432593346,0.17419838905334473,0.010000058585511413,0.49075600504875183,0.42763322591781616
checkerboard,layer-camera checkerboard geometry,raw_original/metadata/Layer Camera Metadata/Checkerboard_2000x2000.tif,"tifffile.memmap(..., series=0, mode='r')",YX,2000;2000,uint8,True,grayscale,1,2000,2000,0.000303,2,1000,1000,4.0,71.0,188.0,0.02999696135520935,0.16596122086048126,0.010008,0.44403159618377686,0.3940398097038269
