part,layer_z,finite_xct5,in_fov,unique_pixels,in_fov_fraction,collision_fraction
part01,109,3743,3743,3584,1.0,0.04247929468340905
part01,110,3651,3651,3580,1.0,0.01944672692413041
part01,111,3748,3748,3579,1.0,0.04509071504802564
part01,112,3650,3650,3586,1.0,0.017534246575342416
part01,113,3775,3775,3603,1.0,0.04556291390728473
part01,114,3685,3685,3600,1.0,0.023066485753052923
part01,115,3776,3776,3613,1.0,0.04316737288135597
part01,116,3685,3685,3619,1.0,0.017910447761193993
part01,117,3807,3807,3629,1.0,0.04675597583399005
part01,118,3723,3723,3628,1.0,0.02551705613752353
part01,119,3808,3808,3637,1.0,0.0449054621848739
part01,120,3723,3723,3639,1.0,0.02256244963738918
part01,121,3839,3839,3653,1.0,0.0484501172180255
part01,122,3765,3765,3662,1.0,0.02735723771580345
part01,123,3845,3845,3664,1.0,0.04707412223667096
part01,124,3766,3766,3659,1.0,0.028412108337758868
part01,125,3872,3872,3684,1.0,0.04855371900826444
part01,126,3798,3798,3689,1.0,0.028699315429173256
part01,127,3872,3872,3694,1.0,0.045971074380165344
part01,128,3799,3799,3701,1.0,0.025796262174256346
part01,129,3904,3904,3716,1.0,0.04815573770491799
part01,130,3798,3798,3718,1.0,0.02106371774618221
part01,131,3903,3903,3728,1.0,0.044837304637458386
part01,132,3837,3837,3739,1.0,0.02554078707323426
part01,133,3936,3936,3750,1.0,0.047256097560975596
part01,134,3842,3842,3761,1.0,0.021082769390942224
part01,135,3939,3939,3775,1.0,0.04163493272404162
part01,136,3879,3879,3779,1.0,0.02577984016499102
part01,137,3968,3968,3785,1.0,0.04611895161290325
part01,138,3875,3875,3795,1.0,0.020645161290322567
part01,139,3967,3967,3810,1.0,0.03957650617595165
part01,140,3874,3874,3810,1.0,0.01652039235931857
part01,141,3999,3999,3832,1.0,0.04176044011002755
part01,142,3912,3912,3838,1.0,0.01891615541922287
part01,143,3999,3999,3841,1.0,0.039509877469367294
part01,144,3911,3911,3843,1.0,0.017386857581181303
part01,145,4033,4033,3873,1.0,0.03967270022315894
part01,146,3993,3993,3876,1.0,0.029301277235161516
part01,147,4037,4037,3895,1.0,0.035174634629675516
part01,148,3993,3993,3885,1.0,0.02704733283245675
part01,149,4064,4064,3907,1.0,0.038631889763779514
part01,150,4065,4065,3922,1.0,0.0351783517835178
part01,151,4129,4129,3947,1.0,0.04407846936304194
part01,152,4064,4064,3939,1.0,0.030757874015748032
part01,153,4159,4159,3968,1.0,0.045924501081990865
part01,154,4102,4102,3970,1.0,0.0321794246708923
part01,155,4160,4160,3996,1.0,0.039423076923076894
part01,156,4102,4102,4010,1.0,0.022428083861530945
part01,157,4191,4191,4025,1.0,0.03960868527797656
part02,1,0,0,0,nan,nan
part02,2,0,0,0,nan,nan
part02,3,0,0,0,nan,nan
part02,4,0,0,0,nan,nan
part02,5,0,0,0,nan,nan
part02,6,0,0,0,nan,nan
part02,7,0,0,0,nan,nan
part02,8,0,0,0,nan,nan
part02,9,0,0,0,nan,nan
part02,10,0,0,0,nan,nan
part02,11,0,0,0,nan,nan
part02,12,0,0,0,nan,nan
part02,13,0,0,0,nan,nan
part02,14,0,0,0,nan,nan
part02,15,0,0,0,nan,nan
part02,16,0,0,0,nan,nan
part02,17,0,0,0,nan,nan
part02,18,0,0,0,nan,nan
part02,19,0,0,0,nan,nan
part02,20,6303,6303,6242,1.0,0.009677931143899698
part02,21,6362,6362,6268,1.0,0.014775227915749811
part02,22,6303,6303,6239,1.0,0.010153894970648891
part02,23,6362,6362,6253,1.0,0.017132977051241727
part02,24,6303,6303,6242,1.0,0.009677931143899698
part02,25,6362,6362,6268,1.0,0.014775227915749811
part02,26,6308,6308,6251,1.0,0.009036144578313254
part02,27,6212,6212,6079,1.0,0.021410173857050907
part02,28,6043,6043,5974,1.0,0.0114181697832203
part02,29,6079,6079,5923,1.0,0.025662115479519687
part02,30,5928,5928,5838,1.0,0.015182186234817818
part02,31,5950,5950,5803,1.0,0.024705882352941133
part02,32,5818,5818,5739,1.0,0.013578549329666512
part02,33,5887,5887,5722,1.0,0.02802785799218621
part02,34,5744,5744,5669,1.0,0.013057103064066822
part02,35,5759,5759,5625,1.0,0.02326792845980208
part02,36,5670,5670,5591,1.0,0.013932980599647316
part02,37,5695,5695,5580,1.0,0.02019315188762072
part02,38,5600,5600,5534,1.0,0.011785714285714288
part02,39,5635,5635,5499,1.0,0.02413487133984027
