image_lattice_col_index_0_to_49,assigned_cell_count,unique_row_count,row_min_assigned,row_max_assigned,contiguous_run_count,longest_contiguous_run,has_any_assigned_cell,runs_json
30,30,30,1,37,4,20,True,"[{""start_index"":1,""end_index"":1,""length"":1},{""start_index"":5,""end_index"":5,""length"":1},{""start_index"":9,""end_index"":16,""length"":8},{""start_index"":18,""end_index"":37,""length"":20}]"
31,31,31,5,37,3,26,True,"[{""start_index"":5,""end_index"":6,""length"":2},{""start_index"":8,""end_index"":10,""length"":3},{""start_index"":12,""end_index"":37,""length"":26}]"
32,28,28,5,37,3,26,True,"[{""start_index"":5,""end_index"":5,""length"":1},{""start_index"":10,""end_index"":10,""length"":1},{""start_index"":12,""end_index"":37,""length"":26}]"
33,30,30,3,37,4,26,True,"[{""start_index"":3,""end_index"":3,""length"":1},{""start_index"":7,""end_index"":7,""length"":1},{""start_index"":9,""end_index"":10,""length"":2},{""start_index"":12,""end_index"":37,""length"":26}]"
34,33,33,0,37,4,29,True,"[{""start_index"":0,""end_index"":0,""length"":1},{""start_index"":2,""end_index"":3,""length"":2},{""start_index"":7,""end_index"":7,""length"":1},{""start_index"":9,""end_index"":37,""length"":29}]"
35,33,33,2,37,3,29,True,"[{""start_index"":2,""end_index"":4,""length"":3},{""start_index"":7,""end_index"":7,""length"":1},{""start_index"":9,""end_index"":37,""length"":29}]"
36,29,29,5,37,4,23,True,"[{""start_index"":5,""end_index"":7,""length"":3},{""start_index"":9,""end_index"":10,""length"":2},{""start_index"":12,""end_index"":12,""length"":1},{""start_index"":15,""end_index"":37,""length"":23}]"
37,33,33,0,37,5,23,True,"[{""start_index"":0,""end_index"":2,""length"":3},{""start_index"":4,""end_index"":5,""length"":2},{""start_index"":7,""end_index"":10,""length"":4},{""start_index"":12,""end_index"":12,""length"":1},{""start_index"":15,""end_index"":37,""length"":23}]"
38,34,34,3,37,2,27,True,"[{""start_index"":3,""end_index"":9,""length"":7},{""start_index"":11,""end_index"":37,""length"":27}]"
39,32,32,1,37,3,29,True,"[{""start_index"":1,""end_index"":1,""length"":1},{""start_index"":4,""end_index"":5,""length"":2},{""start_index"":9,""end_index"":37,""length"":29}]"
40,32,32,1,37,4,19,True,"[{""start_index"":1,""end_index"":2,""length"":2},{""start_index"":5,""end_index"":5,""length"":1},{""start_index"":8,""end_index"":17,""length"":10},{""start_index"":19,""end_index"":37,""length"":19}]"
41,31,31,1,37,3,21,True,"[{""start_index"":1,""end_index"":1,""length"":1},{""start_index"":7,""end_index"":15,""length"":9},{""start_index"":17,""end_index"":37,""length"":21}]"
42,32,32,3,37,4,23,True,"[{""start_index"":3,""end_index"":4,""length"":2},{""start_index"":6,""end_index"":6,""length"":1},{""start_index"":8,""end_index"":13,""length"":6},{""start_index"":15,""end_index"":37,""length"":23}]"
43,32,32,6,37,1,32,True,"[{""start_index"":6,""end_index"":37,""length"":32}]"
44,27,27,6,37,5,18,True,"[{""start_index"":6,""end_index"":6,""length"":1},{""start_index"":9,""end_index"":9,""length"":1},{""start_index"":11,""end_index"":12,""length"":2},{""start_index"":14,""end_index"":18,""length"":5},{""start_index"":20,""end_index"":37,""length"":18}]"
45,32,32,1,37,3,28,True,"[{""start_index"":1,""end_index"":1,""length"":1},{""start_index"":5,""end_index"":7,""length"":3},{""start_index"":10,""end_index"":37,""length"":28}]"
46,27,27,8,37,3,24,True,"[{""start_index"":8,""end_index"":8,""length"":1},{""start_index"":11,""end_index"":12,""length"":2},{""start_index"":14,""end_index"":37,""length"":24}]"
47,28,28,4,37,4,15,True,"[{""start_index"":4,""end_index"":4,""length"":1},{""start_index"":6,""end_index"":7,""length"":2},{""start_index"":12,""end_index"":21,""length"":10},{""start_index"":23,""end_index"":37,""length"":15}]"
48,25,25,4,37,3,16,True,"[{""start_index"":4,""end_index"":4,""length"":1},{""start_index"":12,""end_index"":19,""length"":8},{""start_index"":22,""end_index"":37,""length"":16}]"
49,31,31,2,37,3,27,True,"[{""start_index"":2,""end_index"":2,""length"":1},{""start_index"":7,""end_index"":9,""length"":3},{""start_index"":11,""end_index"":37,""length"":27}]"
