image_lattice_col_index_0_to_49,image_lattice_row_index_0_to_49,predicted_x_px,predicted_y_px,predicted_in_sensor,assigned_in_v3,assigned_source_candidate_index,assigned_raw_x_px,assigned_raw_y_px,nearest_fresh_detector_candidate_distance_px,fresh_detector_candidate_within_v3_assignment_bound,local_mean_darkness_0_to_1
0,0,1524.9254403377174,786.9280135078643,True,True,1448,1524.7837051293236,788.5587858789179,3.0728911713732803,True,0.6937975190076031
1,0,1524.8939437694405,803.031743055041,True,False,,,,12.464635845012292,False,0.7122048819527811
2,0,1524.862442830159,819.1377074322244,True,True,1555,1524.4353611309277,820.7065816681285,3.4148809699832685,True,0.7205282112845138
3,0,1524.8309375189626,835.2459071046616,True,True,1615,1524.3297234605095,835.4240862636875,2.214636925500701,True,0.7198879551820728
4,0,1524.7994278349418,851.356342537729,True,False,,,,12.483704815983725,False,0.7250100040016006
5,0,1524.7679137771856,867.4690141969327,True,False,,,,18.194457309838587,False,0.7245298119247698
6,0,1524.7363953447837,883.5839225479074,True,False,,,,15.815908101816293,False,0.740376150460184
7,0,1524.7048725368245,899.7010680564172,True,False,,,,23.66370283230874,False,0.7402961184473789
8,0,1524.6733453523975,915.8204511883557,True,False,,,,14.183310888526806,False,0.7425370148059224
9,0,1524.6418137905907,931.9420724097461,True,True,1609,1524.5838388889576,931.5997572916549,1.974827234293636,True,0.7420568227290917
10,0,1524.6102778504928,948.0659321867405,True,False,,,,15.746391661895023,False,0.7460584233693477
11,0,1524.5787375311913,964.1920309856208,True,False,,,,12.552151738884849,False,0.7469387755102042
12,0,1524.5471928317745,980.3203692727983,True,True,1487,1524.4074891532343,979.7228678165559,2.788892113517651,True,0.7499799919967987
13,0,1524.5156437513294,996.4509475148138,True,True,609,1524.58622117343,995.6805153155882,2.4983483936389512,True,0.7498999599839936
14,0,1524.484090288944,1012.5837661783379,True,False,,,,13.49806852639472,False,0.7579031612645057
15,0,1524.4525324437043,1028.7188257301705,True,True,1556,1524.0801588214194,1027.6500496170595,3.082509343221932,True,0.7593437374949981
16,0,1524.4209702146977,1044.8561266372417,True,False,,,,18.785202912932053,False,0.7625450180072029
