source_candidate_index,pca_col_index_0_to_49,pca_row_index_0_to_49,raw_x_px,raw_y_px,detector_response,subpixel_shift_px,robust_fit_inlier,heldout_block,full_fit_residual_px
1162,34,0,1565.0050171932924,1350.6643091975666,0.15699532628059387,1.944218265503637,False,False,110.51773264986375
1473,36,0,1565.5697755339988,1384.8158548546708,0.14961887896060944,1.8568095616823819,False,False,111.11910392727906
1372,40,0,1565.2970041831027,1448.8992134919927,0.15183180570602417,2.0277883737167377,False,False,110.97601793970816
1342,44,0,1592.2053689930076,1526.7914460491809,0.15244652330875397,1.8031792396804946,False,False,138.02374963831934
1303,46,0,1564.3012885779212,1559.787976425105,0.1534300595521927,2.2113822961576184,False,False,110.12706095559815
830,48,0,1619.1204378691073,1592.527468214731,0.16400295495986938,1.4774488617013313,False,False,164.93279431346286
1448,2,1,1524.7837051293236,788.5587858789179,0.1501106470823288,1.4573543199535937,False,True,79.60263758388018
1065,3,1,1538.439582309238,805.1256447203452,0.15896238386631012,1.6843082794224538,False,True,93.30654854369082
1615,4,1,1524.3297234605095,835.4240862636875,0.1461765468120575,1.9483803960861585,False,True,79.4184411410358
1439,5,1,1538.4394931500121,853.0354266057125,0.15023358166217804,1.7327845688080312,False,False,93.50922072689586
1575,7,1,1510.3744981618584,883.0927936497682,0.14728301763534546,1.755973564130631,False,False,65.2326132179542
1609,10,1,1524.5838388889576,931.5997572916549,0.14654536545276642,1.6530013498321823,False,False,79.44339312764613
944,11,1,1510.3668547594875,947.2738142564704,0.16179001331329346,1.868393613112834,False,False,65.2930612795249
1412,12,1,1538.2702402160144,965.2435929562173,0.15097123384475708,1.4783983976805182,False,False,93.18737936567138
1406,13,1,1510.2795123175426,979.406258474209,0.15109416842460632,1.9012402970240434,False,False,65.405423261707
609,14,1,1524.58622117343,995.6805153155882,0.16904351115226746,1.7307064000702597,False,False,79.77562295678374
1556,15,1,1524.0801588214194,1027.6500496170595,0.14777475595474243,1.9721579090550607,False,False,79.4638646060209
1462,17,1,1510.5270007926454,1059.7223427524907,0.14986476302146912,1.7861110847915829,False,False,65.7583299228249
1611,20,1,1538.2798703355704,1109.3922277791921,0.14629948139190674,1.5674453492054183,False,False,93.38950800948969
1444,23,1,1525.1765129721296,1158.1270109782636,0.1501106470823288,1.8279050110471406,False,False,80.29449222466525
1416,29,1,1509.7946601139015,1270.4914686405343,0.1507253646850586,1.6899595860029444,False,True,65.55065328787539
1607,33,1,1524.2102218979098,1335.7843533461676,0.14654536545276642,1.954102307036593,False,False,79.64577076934813
1426,35,1,1537.5414344234273,1366.9138598727814,0.15047946572303772,1.9680299796141674,False,False,92.9048353433789
936,36,1,1509.5537060607014,1383.618344191581,0.1619129478931427,1.7104468200096907,False,False,64.93386169215292
1271,37,1,1551.6521431773176,1399.3598300428264,0.15429063141345978,1.9146424626610263,False,False,107.05908894937342
1603,38,1,1508.695256719408,1417.2380807201118,0.14666830003261566,1.8586060189731697,False,False,64.11820598392882
1455,39,1,1551.0757041018364,1431.713171521441,0.14998769760131836,1.7148433668738035,False,False,106.5708184322902
1244,40,1,1509.1706429982723,1448.5517589692079,0.15490533411502838,1.5611133627563494,False,False,64.74536672015094
1514,43,1,1509.339972562581,1513.367645452085,0.1488812267780304,2.1508475481988985,False,False,65.51075694499342
1195,48,1,1509.1524499934442,1594.739615921781,0.15601180493831635,1.9900936506798887,False,False,64.92400305725305
1504,2,2,1482.5077336935917,785.0488760324237,0.14912712574005127,1.8366822866746795,False,True,47.75565318526546
473,4,2,1483.3446662394506,834.0791710481249,0.1722399741411209,1.6572259694066598,False,True,48.36668918043714
1496,10,2,1482.7312345621312,930.3304576761169,0.1492500603199005,1.8384459100742359,False,False,47.51205587981183
1291,11,2,1482.6720873703473,947.4432484762251,0.15379886329174042,2.046173809520247,False,False,47.48558674435985
1263,12,2,1482.5771846209407,964.2856514138678,0.15453651547431946,1.7657190941774163,False,False,47.440944496616225
1341,13,2,1496.3726116341006,980.5137801082227,0.1525694578886032,2.0230947246194124,False,False,61.301822996273394
1217,14,2,1496.2026592389007,1011.347290418926,0.15564298629760742,1.8059846947975464,False,False,61.72317727501552
1541,15,2,1496.5437791764805,1027.478176408916,0.14814358949661255,1.5469786474571834,False,False,61.90259696837688
1238,16,2,1482.207574480218,1028.5810240662145,0.15502828359603882,1.863257584430101,False,False,47.76442894841779
974,17,2,1482.167776093919,1059.3521583038375,0.16117531061172485,1.7866261735924145,False,False,47.32070474962778
1579,18,2,1482.2334842641058,1075.4473229496825,0.14716008305549622,1.6377698538107346,False,False,47.28180896086748
1461,32,2,1481.8163042515216,1320.6085969601977,0.14986476302146912,1.8267835241584816,False,False,47.39835451164543
1219,33,2,1495.823271306872,1335.4232077784998,0.15564297139644623,1.846675607141985,False,False,61.11573599175322
1481,34,2,1481.3434035112873,1353.3412209362696,0.149495929479599,2.1345446766018936,False,False,46.75011635719843
926,36,2,1495.4373946806386,1383.613208823831,0.16215883195400238,1.6714535039710339,False,False,60.660877449230796
1511,37,2,1481.258264731182,1400.5370442927622,0.1488812416791916,1.9863874978586549,False,False,46.50008233044417
981,39,2,1495.335078702025,1432.5004804301932,0.16092944145202637,1.6412074378010844,False,False,60.67366233777793
1362,41,2,1480.6487242922065,1465.368911280963,0.1519547700881958,2.142944209926914,False,False,46.16948545567873
1587,47,2,1494.641322445263,1578.3710192977958,0.14703713357448578,1.513601134290889,False,False,60.29597484386378
1087,48,2,1480.203134067212,1596.6610680577717,0.15847061574459076,1.8000750899907914,False,False,46.0808484395031
1223,0,3,1456.0254419888547,670.9637206173813,0.15552003681659698,1.4225464055446395,False,True,92.22998049750696
1360,2,3,1454.4926508759381,784.7135844381753,0.15207770466804504,1.3828478337803847,False,True,30.113410710026844
1345,3,3,1454.488872776954,815.4761984183878,0.15244652330875397,1.5621820664024024,False,True,29.42983319551408
768,4,3,1454.2716798546132,831.5230452194115,0.16547822952270508,1.9841462630061983,False,True,29.022079630964942
1356,5,3,1454.4319942434447,847.5949317171047,0.1522006392478943,1.69305573496756,False,False,29.056764109571738
1466,7,3,1454.5138914309118,882.2259859124686,0.14974182844161987,1.8394095584455799,False,False,29.155516799439006
1248,9,3,1469.2535811102618,913.884168912624,0.15490533411502838,1.7502559182122341,False,False,43.867599268209524
1453,10,3,1469.0816547731372,930.0965961050179,0.14998771250247955,1.9207756810549097,False,False,43.759419519277564
1563,13,3,1454.126028713071,978.7590353520686,0.14752888679504395,1.6756890881293771,False,False,29.381565927790895
1340,14,3,1468.593552056165,995.5180271554034,0.1525694578886032,2.0431199991286677,False,False,43.762214421627
1586,15,3,1454.459562333287,1026.2902606769417,0.14716006815433502,2.009408076894776,False,False,29.972757210217296
1608,17,3,1468.160399723333,1059.397689387207,0.14654536545276642,1.8166075913698645,False,False,43.2211800256901
1187,19,3,1468.0468106509657,1091.5222651485249,0.15638062357902527,1.8474587198063637,False,False,42.90265141452903
1376,20,3,1454.4585391187811,1107.9646364198138,0.15170888602733612,1.8184127888791657,False,False,29.30087144711646
1515,21,3,1467.9467101945038,1123.5811441029377,0.1488812267780304,1.8428990386432482,False,False,42.75613237098011
1313,28,3,1467.6571345502089,1256.272890008664,0.153184175491333,1.847900089087807,False,True,44.05867503227999
1512,29,3,1453.411772908928,1272.2653253504939,0.1488812416791916,1.7828777490804755,False,True,30.05850536654564
1490,30,3,1453.660058016431,1288.4878953287632,0.14937299489974976,2.0203725042938685,False,False,29.968055704543318
1385,31,3,1453.4482626881193,1304.5980026739694,0.15158593654632568,1.471915737994823,False,False,29.44737292621678
1606,34,3,1467.473413470045,1351.671342603032,0.14654536545276642,1.7370971217319835,False,False,42.60316531160003
1226,35,3,1453.1500596886588,1370.2594807194807,0.15539708733558655,1.7469760376203403,False,False,28.504573667267856
1208,36,3,1452.9671360080677,1384.511649769737,0.15576592087745667,1.794557629179676,False,False,28.058411685729872
1458,37,3,1467.2833887078716,1402.4040177473769,0.14986476302146912,1.6209467944498046,False,False,42.40497755849359
1500,38,3,1453.4181111052214,1417.2410521946688,0.14912712574005127,2.0106175731142732,False,False,28.531087821890747
1454,39,3,1452.562679968527,1433.3660732451983,0.14998769760131836,2.075602272903463,False,False,27.746513136143562
1026,41,3,1466.9292578677248,1467.3021232936821,0.15994590520858765,1.9355375208414884,False,False,42.15643558195678
1229,44,3,1453.240898400876,1515.0907105130634,0.1552741527557373,2.0698038214642103,False,False,29.162889406616223
1485,45,3,1467.2014894979477,1547.205964879066,0.14937300980091095,2.1654078866423694,False,False,43.261374485690915
1565,46,3,1466.736968333953,1562.723184867762,0.1474059522151947,2.1364959812556568,False,False,42.516734622262426
1581,49,3,1452.3877238608425,1598.3232536960684,0.14716006815433502,1.7850378814831935,False,False,29.213914375421272
658,1,4,1440.1861398945223,782.8194800824433,0.16793707013130188,1.4416918723841874,False,True,25.63764343931554
1035,3,4,1440.2286108646283,815.1852815666945,0.15970003604888916,1.707154664647705,False,True,25.095392753194957
1578,6,4,1426.0721619403416,863.0591620086643,0.14728300273418427,1.4080865120966248,True,False,10.520019577667783
1613,7,4,1440.211944922255,881.2744385073031,0.14629948139190674,1.738529009003888,False,False,24.696673370597892
1546,8,4,1440.192144799068,896.8848542187362,0.1480206549167633,1.3770185689173575,False,False,24.672047801080566
216,9,4,1425.9903359910318,911.531247983402,0.17973937094211578,1.8341596979757102,True,False,11.016197703201927
1053,10,4,1425.9011062902864,927.5022650060343,0.1592082530260086,1.751796990164418,True,False,11.478190807191426
1571,12,4,1425.5139432616975,960.3079191010478,0.1474059522151947,2.000669031730348,True,False,12.16730488197096
1290,14,4,1425.9732205399541,994.4823484770338,0.15379886329174042,1.83235973671482,True,False,12.927086264904066
1494,15,4,1426.194751112814,1025.8903539980267,0.1492500603199005,2.0128720243693294,True,False,12.604258305177554
1528,17,4,1438.936132787077,1058.828244182815,0.14851242303848267,2.105848663974099,False,False,24.01700523723942
1471,18,4,1425.6921427333216,1076.2242664201522,0.14961889386177063,2.2053844056315315,True,False,11.35264998118282
1096,19,4,1425.6233985110403,1090.6346900882409,0.15834768116474152,1.6775101686963356,True,False,10.421073035849025
817,20,4,1425.6839782999036,1108.5111927844398,0.1643717736005783,1.9870732347421571,True,False,10.593911659549562
1198,21,4,1439.8505271989468,1123.4101817685607,0.15601179003715515,1.819313150818787,False,False,24.531116562694486
1050,22,4,1425.2568260682265,1141.2930552835671,0.1592082679271698,2.1197339528185406,True,False,9.958181452434905
1519,23,4,1439.6152310361067,1155.727626010283,0.14875830709934235,1.8339031760688858,False,False,24.463865488111335
1518,24,4,1424.675505109258,1173.2966569344762,0.14875830709934235,1.8171430430678752,True,False,9.695415280618295
1475,25,4,1439.5024186701476,1190.4931719173994,0.14961887896060944,1.5883813744269915,False,True,24.375412073065462
877,26,4,1425.618969998121,1206.576335050151,0.1631423532962799,1.9834479462587995,True,True,11.039299558627787
1260,30,4,1438.6433213909395,1287.1219729016723,0.15453651547431946,1.989806117692429,False,False,24.631349474875158
1415,32,4,1424.3167691993344,1319.3915774038205,0.1507253646850586,1.915820658396734,True,False,10.511332925927293
1275,33,4,1425.2915563199824,1337.0006926620167,0.15416769683361053,1.97924100693656,True,False,11.527615278374576
1460,34,4,1424.8157719056724,1351.7211998250857,0.14986476302146912,1.731031146055626,True,False,10.11663982808825
1351,35,4,1425.2407088909993,1369.3526114834615,0.15232357382774353,1.8746245217522886,True,False,10.637257320206361
1384,36,4,1424.8198919053948,1384.5910918534664,0.15158593654632568,1.9809665320544767,True,False,9.806722415599605
1399,37,4,1438.4238378977427,1401.1900595407233,0.15121710300445557,1.8556821035713176,False,False,23.36314830418292
904,40,4,1424.4733440785437,1449.7296789177767,0.16265060007572174,1.8080806448292508,True,False,9.863832858931511
1602,41,4,1438.740954725636,1466.3329199456746,0.14666830003261566,1.833540450733411,False,False,23.991047074455217
1524,42,4,1438.354758308363,1483.0566300053256,0.1486353576183319,1.718091104171399,False,False,23.709000062785154
1057,43,4,1438.6541288766853,1498.518379941113,0.15908531844615936,2.029001411075548,False,False,24.382332475644755
1409,44,4,1424.3041228178192,1515.4962683887527,0.15097123384475708,1.650170943829891,True,False,11.144197571119994
760,45,4,1424.2461562681724,1547.7058296011583,0.16560116410255432,1.8649758712121458,True,False,12.879427917952206
1547,47,4,1424.0518826019631,1580.5248725726785,0.14789772033691406,1.5257549499489464,True,False,11.669847683731867
1582,48,4,1438.5176931453811,1596.4401451276406,0.14716006815433502,2.066700655614377,False,False,24.3610239369439
1361,49,4,1423.8403668710212,1598.4720577500013,0.1519547700881958,1.7437958588208833,True,False,12.88572796732864
1469,1,5,1411.853685360867,781.1198607943242,0.14974182844161987,1.4081430658931904,True,False,8.400224816454255
1538,2,5,1411.921051796347,798.5581592508029,0.14826655387878418,1.7109182206053475,True,False,8.445777150967611
868,3,5,1411.896359037957,814.6082249838366,0.16326531767845154,1.7762491572738028,True,False,7.553958757909708
1421,4,5,1411.8275254175473,829.3682211388322,0.15060241520404816,1.5990082555865912,True,False,6.349493568903981
1604,5,5,1411.7853326164045,846.9411517832785,0.14666830003261566,1.3182969560925768,True,False,6.357522825200943
879,9,5,1411.8705447949783,911.1491027595831,0.1631423532962799,1.6112436849316656,True,False,7.285755621363291
1047,10,5,1411.6606496543611,927.2498689616673,0.1594541370868683,1.4137292481754555,True,False,7.892868464405473
799,11,5,1411.793078959245,943.3562850138919,0.16474059224128723,1.8155350278981657,True,False,8.891471313693161
1398,12,5,1411.7560866842036,959.6331447634511,0.151340052485466,2.0529203968014302,True,False,9.720977631065598
1151,13,5,1411.325543711104,991.7276796492911,0.15724122524261475,1.7580829554983834,True,False,9.210194312135123
1133,15,5,1411.6708539352198,1026.6253423251462,0.15761002898216248,1.9121487872430292,True,True,9.528235022962882
1387,17,5,1411.3390247586815,1057.6137950932525,0.15146300196647644,1.6490216463118221,True,True,6.805167640748478
1569,18,5,1410.645506942544,1074.6819958959243,0.1474059522151947,1.7812387543555241,True,True,6.063430840991407
1417,20,5,1411.1640218124671,1106.5955850431812,0.1507253497838974,1.9750540270896262,True,False,5.714138379549577
1363,23,5,1411.3769398172306,1156.8866274476243,0.1519547700881958,1.9682283397195637,True,False,6.127387593924836
1476,24,5,1411.4168084160679,1173.0893453670722,0.14961887896060944,1.8264138227429543,True,False,6.540787150820861
1253,25,5,1411.0602481459944,1190.4272265124114,0.15478239953517914,1.573927025740847,True,False,6.230579723682497
1374,26,5,1410.8766892397691,1204.657317794214,0.15183180570602417,1.8749096762630917,True,False,7.914705506011572
1483,27,5,1411.2424588985796,1221.9334972049298,0.149495929479599,1.7587988358349227,True,False,8.224477071304033
1205,30,5,1410.4476865545832,1287.0057908081471,0.1558888554573059,1.7627851570949806,True,False,8.964414364157212
1492,36,5,1411.1851603581574,1385.1309336959553,0.1492500603199005,2.138376475331307,True,False,6.183131518853819
1388,37,5,1410.2538152889304,1400.9515297065188,0.15146298706531525,1.967966055682951,True,False,5.043021200070895
1422,39,5,1410.5646850154449,1434.1775069578662,0.15060240030288696,1.8565160222071209,True,False,5.49733922159989
1597,40,5,1410.0767427768674,1452.270827049231,0.1467912495136261,1.9602150376266696,True,True,4.9154547862825835
1325,41,5,1410.0348574177704,1468.3765642960625,0.15293827652931213,1.9252203406190627,True,True,5.095175082667852
1231,42,5,1409.564119479025,1483.9896582075105,0.1552741527557373,1.8620580770525226,True,True,5.411024578040193
814,45,5,1409.8465628414422,1531.8562143771412,0.1643717736005783,2.0401471658722015,True,False,8.461772944810267
1068,47,5,1409.8242897831205,1580.9310588850858,0.15896236896514893,1.939036487017367,True,False,8.959133130054783
735,49,5,1409.5740705232893,1599.3005040539708,0.16596999764442444,1.7938348408588811,True,False,9.628039186330186
916,1,6,1397.544109727153,779.7393828231035,0.162281796336174,1.8225004802440945,True,False,4.754084399764285
781,3,6,1397.4678589855073,811.7470048738005,0.1649864912033081,1.8085679581930656,True,False,2.2540583330208146
1419,4,6,1397.70713741504,829.14918614705,0.1507253497838974,1.7297752640620827,True,False,2.4152888512018924
1006,5,6,1397.741865216427,846.5133199133487,0.16056060791015625,1.9475935956153356,True,False,2.404548382726571
1316,7,6,1396.7645956917106,878.4228382726542,0.153184175491333,1.8145495749702807,True,False,1.8729869647235686
1033,8,6,1397.3486901268407,893.6181538181688,0.15970003604888916,1.655296524436179,True,False,4.13882878653123
1183,9,6,1397.3719019070877,909.8178715220489,0.1565035581588745,1.8555236185971522,True,False,5.302423347639778
1247,10,6,1397.4440254845651,928.4454587897394,0.15490533411502838,1.6167117879640105,True,False,4.207247617860201
1430,11,6,1396.687349620287,943.0917616954212,0.15047946572303772,2.00974932284393,True,False,6.679361024999889
508,12,6,1397.5025412239127,975.3564686184359,0.17125645279884338,2.020492489192265,True,False,8.443552733592217
1506,13,6,1397.0685567955525,991.5847298362985,0.14912711083889008,1.5862120565268287,True,False,7.203701211243668
1452,14,6,1397.0637520856703,1008.4012819719986,0.14998771250247955,1.7593065863618946,True,False,6.632053326550839
1049,15,6,1396.938346560955,1024.5038875373261,0.15933120250701904,1.7726172721095572,True,True,5.345684306222388
1370,17,6,1396.56704243211,1058.8435883926134,0.15183182060718536,1.9475394193010738,True,True,4.8415496206050515
1211,18,6,1396.4782495951174,1073.425013122235,0.15576592087745667,2.0532618595801835,True,True,2.1327826144725686
1311,19,6,1396.5754932648915,1090.6846334845131,0.15330711007118225,1.717818976445175,True,True,2.0757854574671577
1273,22,6,1396.6899300186517,1139.3156739449712,0.15429063141345978,1.3517179153985515,True,False,1.9928397474798785
774,23,6,1396.6746991640155,1155.449990993098,0.1652323603630066,1.4860331469915598,True,False,3.0777156526490295
1288,24,6,1396.8741651222047,1173.5216832622043,0.1537988781929016,1.858204657541078,True,False,2.5291622984854283
1146,26,6,1396.7151150615346,1204.5494980846263,0.1573641449213028,2.0129266303956252,True,False,5.929619902906403
1557,27,6,1396.2559571546008,1222.5801965466271,0.14765183627605438,1.8955923138698365,True,False,5.168229055495664
1257,28,6,1397.1569666935843,1254.5129676165907,0.1546594500541687,1.9130884831152697,True,False,9.63627657160557
1508,29,6,1397.0473948371862,1270.8441397553372,0.14900417625904083,2.1272608792501138,True,False,8.638830186484446
920,30,6,1396.285976232793,1288.3732805857774,0.16215884685516357,1.7765263839147678,True,False,8.739304719081392
891,32,6,1396.1994180983047,1319.4786210669768,0.16289648413658142,1.6814433207900703,True,False,5.232209261415636
1551,33,6,1396.1449542016555,1338.2276309506788,0.14789770543575287,1.9678402791533671,True,False,6.656530084768713
1423,34,6,1396.216594094884,1351.800567406078,0.15060240030288696,1.9636109074868282,True,False,2.999738826251351
1474,35,6,1395.956597916322,1370.3319511026505,0.14961887896060944,1.9228797927744863,True,False,4.159336648855253
1577,36,6,1395.6093860359124,1385.7786494026468,0.14728300273418427,1.7878529874774483,True,False,2.286242301014234
1176,37,6,1396.4031790901204,1402.0355493328086,0.15662652254104614,1.9032076709884183,True,False,1.6223349292392255
1510,38,6,1396.0162535752904,1420.1483356333679,0.1488812416791916,2.096763685965592,True,False,2.1781828519476787
1328,39,6,1395.7019165185286,1436.3163015947694,0.15293827652931213,1.8241510679654604,True,False,1.0307185033655717
1002,40,6,1394.9175813909364,1451.4613633648412,0.16056060791015625,1.9917951239022968,True,True,1.2329576237141897
1489,41,6,1395.7662295704458,1466.7020129895743,0.14937299489974976,1.7179920926516614,True,True,3.2249627246872734
792,42,6,1395.8395919501095,1483.4097541025797,0.16474059224128723,1.8259116824180976,True,True,3.7870276369544578
1347,43,6,1396.2082203586497,1500.0752174642666,0.15232358872890472,2.0896331923621214,True,True,4.438136417008222
1292,47,6,1395.6080010545975,1581.5631071367568,0.15367592871189117,2.0930754847787414,True,False,8.172431054146731
1477,49,6,1395.115197224902,1600.3222014409089,0.1494959443807602,1.6817486154337518,True,False,7.540073643819612
1484,1,8,1383.2948315809099,780.6413206109945,0.14937302470207214,1.3903004506976713,True,False,9.094353706439042
1599,2,8,1383.5448421298256,796.9011648810641,0.1467912346124649,1.8234371515731755,True,False,8.652072669602182
1535,4,8,1383.1548898544588,827.7170593758058,0.14838945865631104,1.7240312546635546,True,False,7.171542929269332
1418,5,8,1382.6819223307446,845.3613257066874,0.1507253497838974,1.7991018813829323,True,False,6.715813554319948
956,6,8,1382.608936316999,861.5196286231104,0.16154412925243378,1.6791166522588987,True,False,6.713300505912901
897,8,8,1382.9623928988856,893.4735001217441,0.16289648413658142,1.473979953335233,True,False,8.020680847794177
1572,10,8,1383.049230392675,928.1965481076027,0.1474059373140335,1.8041237096591987,True,False,8.181000436924801
1393,11,8,1383.3889075079412,943.3027325598058,0.15146298706531525,1.755505881825282,True,False,9.798611538600904
1315,12,8,1382.7769557493857,975.2747447720484,0.153184175491333,1.294110880719578,True,False,10.717119496438158
1529,13,8,1382.3734021111238,991.32132994497,0.14851242303848267,1.9058190318899035,True,False,9.434793783364306
838,14,8,1382.3301530320653,1007.5961059461897,0.16388002038002014,2.0777057732447437,True,False,8.622353969558194
1612,16,8,1383.2241233178413,1040.9186992338864,0.14629948139190674,1.9994364887583793,True,True,8.500263448387539
865,17,8,1382.3220757037382,1058.5227491976564,0.1633882373571396,1.9824616262212165,True,True,7.85883022408834
1570,18,8,1382.264153709537,1073.3941926612008,0.1474059522151947,1.8819824063689117,True,True,6.711461045260051
1070,20,8,1382.4470419493282,1105.7154829345236,0.15896236896514893,1.8023995962173558,True,False,6.646196017027477
