rank_by_response,feature_type,raw_x_px,raw_y_px,response
75,roi_restricted_checkerboard_corner_candidate,796.0,1350.0,4.3505013309186324e-05
76,roi_restricted_checkerboard_corner_candidate,995.0,1517.0,4.3392705265432596e-05
77,roi_restricted_checkerboard_corner_candidate,1124.0,1561.0,4.332885146141052e-05
78,roi_restricted_checkerboard_corner_candidate,908.0,1277.0,4.325918780523352e-05
79,roi_restricted_checkerboard_corner_candidate,951.0,1517.0,4.3243773689027876e-05
80,roi_restricted_checkerboard_corner_candidate,1059.0,1681.0,4.311554948799312e-05
81,roi_restricted_checkerboard_corner_candidate,1016.0,1635.0,4.3114443542435765e-05
82,roi_restricted_checkerboard_corner_candidate,973.0,1445.0,4.3103475036332384e-05
83,roi_restricted_checkerboard_corner_candidate,1146.0,1302.0,4.302824163460173e-05
84,roi_restricted_checkerboard_corner_candidate,819.0,1277.0,4.294023528927937e-05
85,roi_restricted_checkerboard_corner_candidate,1038.0,1658.0,4.290966899134219e-05
86,roi_restricted_checkerboard_corner_candidate,1167.0,1372.0,4.279758286429569e-05
87,roi_restricted_checkerboard_corner_candidate,951.0,1613.0,4.275478204363026e-05
88,roi_restricted_checkerboard_corner_candidate,1103.0,1444.0,4.2721199861261994e-05
89,roi_restricted_checkerboard_corner_candidate,885.0,1543.0,4.268131669959985e-05
90,roi_restricted_checkerboard_corner_candidate,907.0,1566.0,4.264587187208235e-05
91,roi_restricted_checkerboard_corner_candidate,994.0,1612.0,4.254069790476933e-05
92,roi_restricted_checkerboard_corner_candidate,1038.0,1516.0,4.2539893911452964e-05
93,roi_restricted_checkerboard_corner_candidate,1145.0,1537.0,4.250881465850398e-05
94,roi_restricted_checkerboard_corner_candidate,885.0,1639.0,4.244925003149547e-05
95,roi_restricted_checkerboard_corner_candidate,951.0,1469.0,4.240722773829475e-05
96,roi_restricted_checkerboard_corner_candidate,841.0,1495.0,4.240636553731747e-05
97,roi_restricted_checkerboard_corner_candidate,1354.0,1302.0,4.2388310248497874e-05
98,roi_restricted_checkerboard_corner_candidate,1060.0,1539.0,4.2160856537520885e-05
99,roi_restricted_checkerboard_corner_candidate,974.0,1332.0,4.21214135712944e-05
100,roi_restricted_checkerboard_corner_candidate,818.0,1471.0,4.189673927612603e-05
101,roi_restricted_checkerboard_corner_candidate,1145.0,1490.0,4.1854349547065794e-05
102,roi_restricted_checkerboard_corner_candidate,885.0,1446.0,4.184857971267775e-05
103,roi_restricted_checkerboard_corner_candidate,1145.0,1631.0,4.179756797384471e-05
104,roi_restricted_checkerboard_corner_candidate,907.0,1518.0,4.169597013969906e-05
105,roi_restricted_checkerboard_corner_candidate,995.0,1469.0,4.169341264059767e-05
106,roi_restricted_checkerboard_corner_candidate,973.0,1541.0,4.1677907574921846e-05
107,roi_restricted_checkerboard_corner_candidate,907.0,1422.0,4.1673833038657904e-05
108,roi_restricted_checkerboard_corner_candidate,1081.0,1657.0,4.161327888141386e-05
109,roi_restricted_checkerboard_corner_candidate,1081.0,1610.0,4.1528990550432354e-05
110,roi_restricted_checkerboard_corner_candidate,841.0,1301.0,4.1520506783854216e-05
111,roi_restricted_checkerboard_corner_candidate,951.0,1758.0,4.143466503592208e-05
112,roi_restricted_checkerboard_corner_candidate,796.0,1447.0,4.141718818573281e-05
113,roi_restricted_checkerboard_corner_candidate,863.0,1471.0,4.1253279050579295e-05
114,roi_restricted_checkerboard_corner_candidate,1125.0,1278.0,4.123652252019383e-05
115,roi_restricted_checkerboard_corner_candidate,1102.0,1585.0,4.109220753889531e-05
116,roi_restricted_checkerboard_corner_candidate,842.0,1253.0,4.106484630028717e-05
117,roi_restricted_checkerboard_corner_candidate,1081.0,1468.0,4.1041737858904526e-05
118,roi_restricted_checkerboard_corner_candidate,863.0,1567.0,4.103886749362573e-05
119,roi_restricted_checkerboard_corner_candidate,929.0,1685.0,4.1027255065273494e-05
120,roi_restricted_checkerboard_corner_candidate,1123.0,1608.0,4.101775266462937e-05
121,roi_restricted_checkerboard_corner_candidate,1189.0,1302.0,4.1011178836924955e-05
122,roi_restricted_checkerboard_corner_candidate,1059.0,1634.0,4.0947394154500216e-05
123,roi_restricted_checkerboard_corner_candidate,1251.0,1325.0,4.093023017048836e-05
124,roi_restricted_checkerboard_corner_candidate,994.0,1659.0,4.092159360880032e-05
125,roi_restricted_checkerboard_corner_candidate,1080.0,1704.0,4.086709668627009e-05
126,roi_restricted_checkerboard_corner_candidate,951.0,1661.0,4.086205444764346e-05
127,roi_restricted_checkerboard_corner_candidate,1144.0,1678.0,4.084304964635521e-05
128,roi_restricted_checkerboard_corner_candidate,929.0,1590.0,4.0832837839843705e-05
129,roi_restricted_checkerboard_corner_candidate,840.0,1543.0,4.0810460632201284e-05
130,roi_restricted_checkerboard_corner_candidate,994.0,1756.0,4.0694048948353156e-05
131,roi_restricted_checkerboard_corner_candidate,929.0,1542.0,4.069118949701078e-05
132,roi_restricted_checkerboard_corner_candidate,1124.0,1420.0,4.0674462070455775e-05
133,roi_restricted_checkerboard_corner_candidate,1299.0,1668.0,4.058768172399141e-05
134,roi_restricted_checkerboard_corner_candidate,1039.0,1278.0,4.052569420309737e-05
135,roi_restricted_checkerboard_corner_candidate,952.0,1308.0,4.048886330565438e-05
136,roi_restricted_checkerboard_corner_candidate,1209.0,1419.0,4.041702050017193e-05
137,roi_restricted_checkerboard_corner_candidate,1167.0,1325.0,4.035721212858334e-05
138,roi_restricted_checkerboard_corner_candidate,885.0,1494.0,4.029356568935327e-05
139,roi_restricted_checkerboard_corner_candidate,1292.0,1418.0,4.026992610306479e-05
140,roi_restricted_checkerboard_corner_candidate,1061.0,1254.0,4.024967347504571e-05
141,roi_restricted_checkerboard_corner_candidate,1018.0,1254.0,4.013627039967105e-05
142,roi_restricted_checkerboard_corner_candidate,1059.0,1728.0,4.013057696283795e-05
143,roi_restricted_checkerboard_corner_candidate,797.0,1301.0,4.012537465314381e-05
