rank_by_clustered_integrated_red_dominance,component_count,area_px_sum,integrated_red_dominance_sum,peak_red_dominance_max,centroid_x_px,centroid_y_px,combined_weighted_spread_px,bbox_x0_px,bbox_y0_px,bbox_x1_px,bbox_y1_px,touches_image_boundary,source_component_ranks
1,34,3698,923.9859309643507,0.6813497543334961,2582.344690113721,2029.175630465323,40.268976920356586,2520,1975,2645,2091,False,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
2,1,462,144.75240883231163,0.5947906970977783,791.0333503102586,2108.9952616180963,8.383306977020826,776,2100,807,2118,False,1
