sample_id,layer_z,rank,score,x_model_pixel,y_model_pixel,raw_camera_x_px,raw_camera_y_px,expected_raw_camera_x_px,expected_raw_camera_y_px,model_grid_roundtrip_x,model_grid_roundtrip_y,model_grid_roundtrip_error_px,raw_center_mapping_error_px,grid_in_bounds,raw_in_working_roi,raw_in_sensor_fov,model_edge_margin_px,model_edge_safe,score_finite,score_in_unit_interval,inverse_homography_denominator,machine_x,machine_y,containing_machine_part,inverse_transform_solvable,reprojected_raw_camera_x_px,reprojected_raw_camera_y_px,raw_camera_roundtrip_error_px,score_semantics
test_z_206,206,1,0.7629987597465515,33,116,446.2890625,932.6171875,446.2890625,932.6171875,33.0,116.0,0.0,0.0,True,True,True,33.0,True,True,True,1.0353382843579102,60.28559090086115,-13.18403964632445,,True,446.28906250000006,932.6171875000002,2.3437142008433856e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_206,206,2,0.7621145248413086,36,125,463.8671875,985.3515625,463.8671875,985.3515625,36.0,125.0,0.0,0.0,True,True,True,36.0,True,True,True,1.031861598260699,59.18817559815832,-10.176451987400226,,True,463.86718750000017,985.3515625,1.7053025658242404e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_206,206,3,0.7616899013519287,5,78,282.2265625,709.9609375,282.2265625,709.9609375,5.0,78.0,0.0,0.0,True,True,True,5.0,True,True,True,1.0522049905922866,70.85805038957662,-25.478485626124062,,True,282.22656250000006,709.9609375,5.684341886080802e-14,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_206,206,4,0.7600114941596985,4,59,276.3671875,598.6328125,276.3671875,598.6328125,4.0,59.0,0.0,0.0,True,True,True,4.0,True,True,True,1.0587838386558548,70.96636848431154,-31.64486732042438,,True,276.36718750000006,598.6328125000001,1.2710574864626038e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_206,206,5,0.7592707872390747,22,136,381.8359375,1049.8046875,381.8359375,1049.8046875,22.0,136.0,0.0,0.0,True,True,True,22.0,True,True,True,1.030132540069454,64.93752088802627,-6.302478372714337,,True,381.8359375000001,1049.8046875000002,2.5421149729252077e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_207,207,1,0.7636359333992004,33,118,446.2890625,944.3359375,446.2890625,944.3359375,33.0,118.0,0.0,0.0,True,True,True,33.0,True,True,True,1.0346607902706815,60.30893432233689,-12.510476240015395,,True,446.2890625000001,944.3359375000001,1.6077746776921858e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_207,207,2,0.7618182301521301,5,78,282.2265625,709.9609375,282.2265625,709.9609375,5.0,78.0,0.0,0.0,True,True,True,5.0,True,True,True,1.0522049905922866,70.85805038957662,-25.478485626124062,,True,282.22656250000006,709.9609375,5.684341886080802e-14,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_207,207,3,0.7612679600715637,36,125,463.8671875,985.3515625,463.8671875,985.3515625,36.0,125.0,0.0,0.0,True,True,True,36.0,True,True,True,1.031861598260699,59.18817559815832,-10.176451987400226,,True,463.86718750000017,985.3515625,1.7053025658242404e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_207,207,4,0.7597069144248962,4,59,276.3671875,598.6328125,276.3671875,598.6328125,4.0,59.0,0.0,0.0,True,True,True,4.0,True,True,True,1.0587838386558548,70.96636848431154,-31.64486732042438,,True,276.36718750000006,598.6328125000001,1.2710574864626038e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_207,207,5,0.7592354416847229,22,136,381.8359375,1049.8046875,381.8359375,1049.8046875,22.0,136.0,0.0,0.0,True,True,True,22.0,True,True,True,1.030132540069454,64.93752088802627,-6.302478372714337,,True,381.8359375000001,1049.8046875000002,2.5421149729252077e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
