x_model_pixel,y_model_pixel,repeat_count_across_layers
22,136,44
4,60,33
33,116,31
5,78,27
11,79,17
4,59,12
36,125,10
6,77,8
5,77,7
12,80,6
33,117,5
6,78,4
23,136,4
33,118,4
35,125,4
34,119,3
3,60,2
4,56,2
10,80,2
32,116,2
35,120,2
