extent_candidate,lattice_row,assigned_point_count,row_present
v2_human_quad,column_23,31,True
v2_human_quad,column_24,30,True
v2_human_quad,column_25,29,True
v2_human_quad,column_26,29,True
v2_human_quad,column_27,28,True
v2_human_quad,column_28,26,True
v2_human_quad,column_29,29,True
v2_human_quad,column_30,30,True
v2_human_quad,column_31,31,True
v2_human_quad,column_32,28,True
v2_human_quad,column_33,30,True
v2_human_quad,column_34,33,True
v2_human_quad,column_35,33,True
v2_human_quad,column_36,29,True
v2_human_quad,column_37,33,True
v2_human_quad,column_38,34,True
v2_human_quad,column_39,32,True
v2_human_quad,column_40,32,True
v2_human_quad,column_41,30,True
v2_human_quad,column_42,31,True
v2_human_quad,column_43,32,True
v2_human_quad,column_44,27,True
v2_human_quad,column_45,32,True
v2_human_quad,column_46,27,True
v2_human_quad,column_47,28,True
v2_human_quad,column_48,25,True
v2_human_quad,column_49,31,True
