rank_by_response,feature_type,raw_x_px,raw_y_px,response
90,checkerboard_corner_candidate,951.0,1517.0,3.787322930293158e-05
91,checkerboard_corner_candidate,353.0,1833.0,3.7792749935761094e-05
92,checkerboard_corner_candidate,1059.0,1681.0,3.776093217311427e-05
93,checkerboard_corner_candidate,1016.0,1635.0,3.775995719479397e-05
94,checkerboard_corner_candidate,973.0,1445.0,3.7759764381917194e-05
95,checkerboard_corner_candidate,1146.0,1302.0,3.769486283999868e-05
96,checkerboard_corner_candidate,819.0,1277.0,3.76256721210666e-05
97,checkerboard_corner_candidate,1038.0,1658.0,3.758061575354077e-05
98,checkerboard_corner_candidate,1167.0,1372.0,3.751145413843915e-05
99,checkerboard_corner_candidate,951.0,1613.0,3.748046947293915e-05
100,checkerboard_corner_candidate,1103.0,1444.0,3.7415553379105404e-05
101,checkerboard_corner_candidate,885.0,1543.0,3.738062150659971e-05
102,checkerboard_corner_candidate,907.0,1566.0,3.73495822714176e-05
103,checkerboard_corner_candidate,994.0,1612.0,3.725746864802204e-05
104,checkerboard_corner_candidate,1038.0,1516.0,3.7256762880133465e-05
105,checkerboard_corner_candidate,1145.0,1537.0,3.722954716067761e-05
106,checkerboard_corner_candidate,885.0,1639.0,3.7177382182562724e-05
107,checkerboard_corner_candidate,951.0,1469.0,3.714057675097138e-05
108,checkerboard_corner_candidate,841.0,1495.0,3.713982368935831e-05
109,checkerboard_corner_candidate,1354.0,1302.0,3.7124005757505074e-05
110,checkerboard_corner_candidate,974.0,1332.0,3.704344999277964e-05
111,checkerboard_corner_candidate,1060.0,1539.0,3.692480822792277e-05
112,checkerboard_corner_candidate,398.0,554.0,3.683861723402515e-05
113,checkerboard_corner_candidate,1145.0,1490.0,3.6707155231852084e-05
114,checkerboard_corner_candidate,818.0,1471.0,3.6693483707495034e-05
115,checkerboard_corner_candidate,885.0,1446.0,3.665717667900026e-05
116,checkerboard_corner_candidate,1145.0,1631.0,3.6606630601454526e-05
