source_candidate_index,image_lattice_col_index_0_to_49,image_lattice_row_index_0_to_49,raw_x_px,raw_y_px,detector_response,projective_cell_residual_px,correspondence_source,full_refined_fit_inlier,full_refined_fit_residual_px,heldout_block,train_only_prediction_x_px,train_only_prediction_y_px,train_only_residual_px
1448,0,0,1524.7837051293236,788.5587858789179,0.1501106470823288,1.6369200944121114,projective_2d_nearest_cell_reassignment,True,1.6369200944121114,True,1525.0155381064633,786.7941719356131,1.779777766518911
1555,2,0,1524.4353611309277,820.7065816681285,0.14777477085590363,1.6259659116666216,projective_2d_nearest_cell_reassignment,True,1.6259659116666216,True,1524.9502140394304,819.013871640553,1.7692769016884236
1615,3,0,1524.3297234605095,835.4240862636875,0.1461765468120575,0.5319429904625455,projective_2d_nearest_cell_reassignment,True,0.5319429904625455,True,1524.9175455035272,835.1269286562897,0.6586633418461171
1609,9,0,1524.5838388889576,931.5997572916549,0.14654536545276642,0.3471897597757373,projective_2d_nearest_cell_reassignment,True,0.3471897597757373,False,1524.7214432003032,931.8501978634944,0.2857541364952688
1487,12,0,1524.4074891532343,979.7228678165559,0.14937300980091095,0.6136164176498694,projective_2d_nearest_cell_reassignment,True,0.6136164176498694,False,1524.6233334533638,980.2407333599035,0.5610467742399933
609,13,0,1524.58622117343,995.6805153155882,0.16904351115226746,0.7736581584356307,projective_2d_nearest_cell_reassignment,True,0.7736581584356307,False,1524.5906215178302,996.375196315634,0.6946949365407956
1556,15,0,1524.0801588214194,1027.6500496170595,0.14777475595474243,1.1317881844807038,projective_2d_nearest_cell_reassignment,True,1.1317881844807038,False,1524.5251846117403,1028.650551473386,1.0950122915125475
1444,23,0,1525.1765129721296,1158.1270109782636,0.1501106470823288,1.0073476973860802,projective_2d_nearest_cell_reassignment,True,1.0073476973860802,False,1524.2632630600428,1157.8377580462839,0.9579627657614105
1607,34,0,1524.2102218979098,1335.7843533461676,0.14654536545276642,0.36548805261679734,projective_2d_nearest_cell_reassignment,True,0.36548805261679734,False,1523.9026659067654,1335.6945958211993,0.32038586263640917
1533,37,0,1523.5238907021646,1383.6708922536254,0.14838947355747223,0.6317727251679854,projective_2d_nearest_cell_reassignment,True,0.6317727251679854,False,1523.8042296554381,1384.246172627556,0.6399511210648697
1449,0,1,1510.7989772944325,786.8707954417284,0.1501106321811676,0.686947185213834,projective_2d_nearest_cell_reassignment,True,0.686947185213834,True,1511.0182663309076,786.0674367896178,0.8327501458656533
1575,6,1,1510.3744981618584,883.0927936497682,0.14728301763534546,0.3784965506241385,projective_2d_nearest_cell_reassignment,True,0.3784965506241385,False,1510.816378835044,882.8904991024991,0.48598519852944594
944,10,1,1510.3668547594875,947.2738142564704,0.16179001331329346,0.3804058493495184,projective_2d_nearest_cell_reassignment,True,0.3804058493495184,False,1510.6816976860782,947.4821233778769,0.37751656716672055
1406,12,1,1510.2795123175426,979.406258474209,0.15109416842460632,0.5320765762133852,projective_2d_nearest_cell_reassignment,True,0.5320765762133852,False,1510.614330244657,979.790820608963,0.5098932043120851
1595,14,1,1510.5699001206735,1011.5175557054632,0.14691418409347534,0.6664290188930693,projective_2d_nearest_cell_reassignment,True,0.6664290188930693,False,1510.546944882414,1012.1081124725033,0.5910027394694455
1462,17,1,1510.5270007926454,1059.7223427524907,0.14986476302146912,0.9483142801119953,projective_2d_nearest_cell_reassignment,True,0.9483142801119953,False,1510.4458332218635,1060.6001727071177,0.8815745026866005
1416,30,1,1509.7946601139015,1270.4914686405343,0.1507253646850586,0.5153115483182439,projective_2d_nearest_cell_reassignment,True,0.5153115483182439,False,1510.0072159758795,1270.9562661233904,0.5110936259928627
936,37,1,1509.5537060607014,1383.618344191581,0.1619129478931427,0.7893469720329821,projective_2d_nearest_cell_reassignment,True,0.7893469720329821,False,1509.7707228411775,1384.3758190278281,0.7879494974653617
1603,39,1,1508.695256719408,1417.2380807201118,0.14666830003261566,1.0580900962536588,projective_2d_nearest_cell_reassignment,True,1.0580900962536588,False,1509.7031128639994,1416.8008337880901,1.0986168066041346
